,Store#,County_x,City,CountyNum,Total_Sales_2015_Q1,Sales_Mean_2015_Q1,Total_Liters_2015_Q1,Avg_Liters_2015_Q1,Zip_Code_x,Avg_PPL_2015_Q1,Avg_Margin_2015_Q1,County_y,Total_Sales_2015,Sales_Mean_2015,Total_Liters_2015,Avg_Liters_2015,Zip_Code_y,Avg_PPL_2015,Avg_Margin_2015,County#
823,4598,Polk,DES MOINES,77.0,10099.96,75.3728358209,616.05,4.5973880597,50317,19.8476723525,3.36455223881,Polk,44551.91,69.5037597504,2815.67,4.39262090484,50317,19.8287905802,3.23209048362,77.0
824,4599,Polk,DES MOINES,77.0,20976.49,66.1718927445,1423.82,4.49154574132,50317,17.6841670422,2.79498422713,Polk,82333.06,58.1448163842,5597.57,3.95308615819,50317,19.1804371805,2.90842514124,77.0
825,4600,Polk,DES MOINES,77.0,14379.57,74.89359375,1153.56,6.008125,50317,16.2178521825,3.72510416667,Polk,58044.28,77.5993048128,4763.22,6.36794117647,50317,16.0180474917,4.13335561497,77.0
826,4601,Polk,DES MOINES,77.0,9108.13,48.7065775401,680.54,3.6392513369,50317,17.4045327222,4.03679144385,Polk,44930.79,57.9005025773,3116.53,4.01614690722,50317,17.4143090329,4.04586340206,77.0
827,4602,Mills,PACIFIC JUNCTION,65.0,21246.83,101.659473684,1451.2,6.94354066986,51561,18.8293779904,6.29803827751,Mills,99738.42,102.61154321,6799.25,6.99511316872,51561,18.8601288458,6.22293209877,65.0
828,4603,Polk,DES MOINES,77.0,9434.79,116.478888889,655.0,8.08641975309,50320,16.8699235744,4.42888888889,Polk,46080.5,74.2037037037,3131.56,5.04276972625,50320,17.3500605782,4.26033816425,77.0
829,4604,Jasper,NEWTON,50.0,64232.05,35.3895592287,4813.49,2.65206060606,50208,18.3185618557,4.82364187328,Jasper,259933.18,33.7400285566,20290.51,2.63376298027,50208,17.9134346933,4.77060877466,50.0
830,4605,Linn,MARION,57.0,9443.3,122.64025974,710.6,9.22857142857,52302,15.7756586271,3.35233766234,Linn,35138.91,103.046656891,2644.04,7.7537829912,52302,15.4370814132,3.71903225806,57.0
831,4607,Clayton,GUTTENBERG,22.0,3530.34,135.782307692,265.8,10.2230769231,52052,15.4975686813,4.39576923077,Clayton,16908.92,133.141102362,1293.15,10.1822834646,52052,15.8637814023,4.31637795276,22.0
832,4608,Pottawattamie,COUNCIL BLUFFS,78.0,12642.13,48.0689353612,946.08,3.59726235741,51503,18.4474877784,3.85680608365,Pottawattamie,52058.8,53.8353671148,3942.34,4.07687693899,51503,18.6114704289,3.89096173733,78.0
833,4609,Polk,ANKENY,77.0,11630.25,111.829326923,891.35,8.57067307692,50023,14.9152380952,4.24182692308,Polk,44433.12,77.2749913043,3462.51,6.02175652174,50023,15.7183229814,4.03170434783,77.0
834,4610,Pocahontas,FONDA,76.0,5854.8,266.127272727,459.0,20.8636363636,50540,14.0438095238,4.43818181818,Pocahontas,17567.52,243.993333333,1391.1,19.3208333333,50540,14.3748875661,4.41555555556,76.0
835,4612,Scott,DAVENPORT,82.0,46261.56,101.673758242,3089.69,6.79052747253,52802,19.464566719,3.22657142857,Scott,176016.7,112.831217949,11978.15,7.67830128205,52802,19.1194832112,3.2696474359,82.0
836,4613,Carroll,CARROLL,14.0,15026.89,96.9476774194,1340.95,8.65129032258,51401,13.1918003072,4.34838709677,Carroll,57573.71,90.3825902669,5484.9,8.61051805338,51401,12.5254646034,4.03277864992,14.0
837,4615,Cerro Gordo,MASON CITY,17.0,91369.16,151.273443709,6998.1,11.5862582781,50401,16.9645521917,4.39248344371,Cerro Gordo,419759.59,148.74542523,30730.49,10.8896137491,50401,17.175889651,4.42087526577,17.0
838,4617,Polk,DES MOINES,77.0,73716.25,65.29340124,4416.3,3.91169176262,50317,21.1061063309,4.9891231178,Polk,315884.06,70.7942761094,19225.2,4.30865082922,50317,20.4358274072,5.04240475123,77.0
839,4619,Lee,FORT MADISON,56.0,33452.81,33.1873115079,2297.6,2.27936507937,52627,19.1215043934,3.06575396825,Lee,137532.84,39.4302866972,9428.26,2.70305619266,52627,19.3419004614,3.19872419725,56.0
840,4620,Adair,FONTANELLE,1.0,16470.17,126.693615385,1383.0,10.6384615385,50846,15.7855421245,5.65315384615,Adair,60384.85,132.713956044,4992.25,10.971978022,50846,16.6858367347,6.13215384615,1.0
841,4621,Story,MAXWELL,85.0,8538.36,137.715483871,666.6,10.7516129032,50161,14.303202765,3.96258064516,Story,34498.59,139.107217742,2802.97,11.3022983871,50161,13.8553033794,3.90213709677,85.0
842,4622,Polk,DES MOINES,77.0,18182.23,66.3585036496,1257.52,4.58948905109,50320,18.7121498088,3.06335766423,Polk,72311.77,64.0493976971,5008.97,4.43664304694,50320,18.6195731579,3.10597874225,77.0
843,4623,Dallas,VAN METER,25.0,4383.72,141.410322581,339.6,10.9548387097,50261,14.5962211982,4.05064516129,Dallas,19423.38,135.827832168,1621.5,11.3391608392,50261,13.6041425241,3.68405594406,25.0
844,4624,Linn,HIAWATHA,57.0,11328.58,60.906344086,895.12,4.81247311828,52233,16.7787147977,3.37650537634,Linn,46150.8,62.3659459459,3381.56,4.56967567568,52233,18.2080212355,3.51377027027,57.0
845,4625,Pottawattamie,COUNCIL BLUFFS,78.0,9094.75,65.4298561151,675.51,4.85978417266,51501,17.631336074,3.22424460432,Pottawattamie,25634.3,65.2272264631,1956.06,4.9772519084,51501,17.1782757785,3.25567430025,78.0
846,4626,Pottawattamie,COUNCIL BLUFFS,78.0,11358.23,53.5765566038,954.9,4.50424528302,51501,14.990384097,3.48745283019,Pottawattamie,49361.9,58.3473995272,3859.25,4.56176122931,51501,16.0617876843,3.54956264775,78.0
847,4627,Jasper,SULLY,50.0,2597.88,144.326666667,189.3,10.5166666667,50251,14.5110978836,3.99777777778,Jasper,13387.94,142.424893617,903.3,9.60957446809,50251,16.1609245187,4.35021276596,50.0
848,4628,Fayette,OELWEIN,33.0,17212.57,114.750466667,1357.62,9.0508,50662,15.9841555556,4.803,Fayette,89225.59,126.203097595,7064.6,9.99236209335,50662,15.4854893244,4.65366336634,33.0
849,4629,Mills,GLENWOOD,65.0,14080.59,80.9229310345,1077.04,6.18988505747,51534,15.0601532567,3.55045977011,Mills,70668.2,80.6714611872,5339.46,6.0952739726,51534,15.8699478147,3.76579908676,65.0
850,4630,Scott,DAVENPORT,82.0,48105.44,189.391496063,3037.47,11.9585433071,52803,18.5372647169,4.20519685039,Scott,206591.85,183.964247551,12958.02,11.5387533393,52803,17.7700799305,3.79235084595,82.0
851,4631,Black Hawk,CEDAR FALLS,7.0,11247.16,118.391157895,888.27,9.35021052632,50613,16.3434135338,4.418,Black Hawk,45888.0,116.763358779,3878.24,9.86829516539,50613,15.5321931419,3.95959287532,7.0
852,4633,Pottawattamie,CARTER LAKE,78.0,19543.2,74.3087452471,1419.6,5.39771863118,51510,18.0012004345,3.52931558935,Pottawattamie,75277.83,68.3722343324,5454.46,4.95409627611,51510,17.726686562,3.59168029064,78.0
853,4634,Linn,CEDAR RAPIDS,57.0,9929.11,66.6383221477,704.51,4.72825503356,52402,17.2572259508,3.58255033557,Linn,43502.81,58.708245614,3236.87,4.36824561404,52402,17.4502056423,3.46889338731,57.0
854,4635,Linn,CEDAR RAPIDS,57.0,7861.69,59.1104511278,506.26,3.80646616541,52405,19.8457107053,2.98203007519,Linn,29369.15,62.4875531915,1855.26,3.94736170213,52405,20.0404457953,3.05768085106,57.0
855,4636,Linn,CEDAR RAPIDS,57.0,11492.37,99.9336521739,568.4,4.94260869565,52402,22.1944057971,3.90652173913,Linn,38691.91,76.015540275,2157.98,4.23964636542,52402,21.2559191692,3.4500589391,57.0
856,4637,Linn,CEDAR RAPIDS,57.0,17734.56,50.6701714286,1253.06,3.58017142857,52404,18.8099537415,3.4132,Linn,75262.32,47.03895,5602.7,3.5016875,52404,17.7436818452,3.187275,57.0
857,4638,Scott,DAVENPORT,82.0,53003.64,158.693532934,2865.07,8.57805389222,52804,20.234439692,3.61194610778,Scott,343990.69,219.661998723,17753.04,11.3365517241,52804,19.6100284316,3.54111749681,82.0
858,4640,Scott,DAVENPORT,82.0,45996.36,153.833979933,2178.32,7.28535117057,52807,23.8805956362,4.30571906355,Scott,176532.33,151.790481513,8444.18,7.26068787618,52807,24.1840020677,4.25454858126,82.0
859,4641,Polk,DES MOINES,77.0,16725.61,46.5894428969,1305.1,3.63537604457,50315,16.9948242472,3.82944289694,Polk,66042.77,45.1420164046,5110.89,3.49343130554,50315,17.0355059727,3.81432672591,77.0
860,4642,Black Hawk,WATERLOO,7.0,28113.68,124.396814159,1798.23,7.9567699115,50701,19.3174072903,4.27438053097,Black Hawk,140230.77,127.25115245,8541.07,7.75051724138,50701,19.6809496739,4.37452813067,7.0
861,4643,Montgomery,RED OAK,69.0,6624.0,135.183673469,416.35,8.49693877551,51566,16.9474829932,3.1593877551,Montgomery,25977.76,112.946782609,1650.4,7.17565217391,51566,17.1157722567,3.28513043478,69.0
862,4644,Scott,DAVENPORT,82.0,33918.88,87.872746114,2927.9,7.58523316062,52803,18.4797767086,2.73575129534,Scott,130104.29,89.8510290055,11261.39,7.77720303867,52803,18.5238568798,2.69142955801,82.0
863,4645,Scott,ELDRIDGE,82.0,8569.41,53.2261490683,771.37,4.79111801242,52748,15.3544602189,2.94335403727,Scott,34041.4,48.492022792,2753.86,3.92287749288,52748,15.8032417582,3.03217948718,82.0
864,4647,Black Hawk,WATERLOO,7.0,14577.96,87.2931736527,1021.24,6.11520958084,50707,19.043421728,3.17850299401,Black Hawk,67107.72,91.4274114441,4964.03,6.76298365123,50707,17.3912151291,2.93648501362,7.0
865,4648,Black Hawk,WATERLOO,7.0,102884.46,310.82918429,4195.6,12.6755287009,50703,26.5378269314,4.5298489426,Black Hawk,425774.23,256.027799158,16965.82,10.2019362598,50703,25.5772705498,4.41875526158,7.0
866,4650,Kossuth,SWEA CITY,55.0,8705.05,110.190506329,795.1,10.064556962,50590,13.6918203737,4.5853164557,Kossuth,43086.17,117.081983696,3835.37,10.422201087,50590,13.7019461698,4.70769021739,55.0
867,4651,Hamilton,JEWELL,40.0,8049.16,51.5971794872,815.52,5.22769230769,50130,16.6200396825,3.88916666667,Hamilton,35919.65,57.6559390048,3709.37,5.95404494382,50130,15.7305457464,3.76266452648,40.0
868,4652,Scott,DAVENPORT,82.0,61101.11,155.870178571,2904.16,7.40857142857,52803,25.1981401846,4.68727040816,Scott,259888.11,169.750561724,12021.58,7.8521097322,52803,24.3380053498,4.30052253429,82.0
869,4653,Greene,JEFFERSON,37.0,9978.59,71.2756428571,841.89,6.0135,50129,18.5079897959,3.68914285714,Greene,26716.22,75.0455617978,2219.38,6.23421348315,50129,17.7991332263,3.47924157303,37.0
870,4654,Adair,STUART,1.0,16304.6,107.267105263,1127.3,7.41644736842,50250,16.8589160401,4.02730263158,Adair,67025.6,100.79037594,4630.17,6.96266165414,50250,16.9346473326,4.0034887218,1.0
871,4655,Jasper,PRAIRIE CITY,50.0,5926.75,88.4589552239,477.9,7.1328358209,50228,16.3814214641,4.19014925373,Jasper,23823.68,89.9006792453,1885.95,7.11679245283,50228,15.8706289308,3.87245283019,50.0
872,4656,Story,AMES,85.0,3111.25,103.708333333,258.45,8.615,50010,17.1485396825,4.07933333333,Story,16292.73,83.5524615385,1273.24,6.52943589744,50010,17.3005470085,3.71282051282,85.0
873,4657,Grundy,WELLSBURG,38.0,3919.2,156.768,348.0,13.92,50680,14.3005714286,4.0936,Grundy,16442.46,150.848256881,1710.0,15.6880733945,50680,11.6383923111,3.72944954128,38.0
874,4658,Hardin,IOWA FALLS,42.0,6217.98,141.317727273,450.6,10.2409090909,50126,16.8056493506,3.64886363636,Hardin,18351.65,132.026258993,1445.7,10.4007194245,50126,15.5663446386,3.63402877698,42.0
875,4659,Grundy,CONRAD,38.0,4793.53,69.4714492754,376.76,5.46028985507,50621,16.348957902,3.89971014493,Grundy,14543.73,68.6025,1142.76,5.39037735849,50621,16.7426999102,3.90594339623,38.0
