,Store#,County,City,County#,Total_Sales_2016_Q1,Sales_Mean_2016_Q1,Total_Liters_2016_Q1,Avg_PPL_2016_Q1,Zip_Code,Avg_Liters_2016_Q1,Avg_Margin_2016_Q1,Predicted 2016 TotalSales
596,4375,Polk,GRIMES,77.0,14925.84,71.4155023923,1105.48,5.28937799043,50111,16.5246001367,4.11698564593,62719.7412884
597,4376,Cerro Gordo,MASON CITY,17.0,17584.71,72.6640909091,1460.22,6.03396694215,50401,15.9676584022,3.83185950413,71252.9847508
598,4377,Polk,DES MOINES,77.0,12274.05,34.4776685393,709.5,1.99297752809,50313,20.977946763,3.02643258427,38291.8218998
599,4378,Dallas,WAUKEE,25.0,9040.77,108.924939759,705.74,8.50289156627,50263,15.0656569134,4.43939759036,42864.8431928
600,4379,Polk,WEST DES MOINES,77.0,17178.37,88.0942051282,1241.39,6.3661025641,50266,15.9370647131,3.84743589744,69863.5135748
601,4380,Cedar,WEST BRANCH,16.0,6665.04,92.57,492.2,6.83611111111,52358,16.3337698413,4.01263888889,27477.1054838
602,4382,Polk,WEST DES MOINES,77.0,13574.06,43.7872903226,994.42,3.20780645161,50265,17.7104285714,3.86761290323,53350.8687806
603,4384,Dallas,ADEL,25.0,15744.63,71.2426696833,1301.07,5.88719457014,50003,16.6783214824,4.28380090498,68245.176368
604,4385,Warren,NEW VIRGINIA,91.0,6426.54,107.109,484.12,8.06866666667,50210,17.5593095238,4.48016666667,32057.54693
605,4387,Dickinson,SPIRIT LAKE,30.0,7247.59,95.3630263158,607.38,7.99184210526,51360,13.7168107769,3.70131578947,27163.3010466
606,4388,Polk,CLIVE,77.0,7638.2,41.7387978142,478.26,2.61344262295,50325,18.6162008847,2.77896174863,16376.6441455
607,4392,Polk,CLIVE,77.0,16367.28,47.4413913043,1098.83,3.18501449275,50325,18.5597046239,4.25139130435,69231.4355165
608,4393,Polk,CLIVE,77.0,8734.69,82.4027358491,626.19,5.90745283019,50325,17.685507637,4.23235849057,38115.9187239
609,4395,Hamilton,ELLSWORTH,40.0,11151.14,76.3776712329,884.16,6.05589041096,50075,15.8449184605,4.09575342466,46927.209877
610,4396,Grundy,REINBECK,38.0,9801.51,125.660384615,903.75,11.5865384615,50669,11.3943772894,4.22102564103,45220.8862738
611,4397,Polk,ANKENY,77.0,11670.65,55.5745238095,660.71,3.14623809524,50021,18.325968254,2.73952380952,33231.7911559
