,Store#,City,Total_Sales_2015_Q1,Sales_Mean_2015_Q1,County#,Avg_PPL_2015_Q1,Zip_Code_x,Total_Liters_2015_Q1,Avg_Liters_2015_Q1,Avg_Margin_2015_Q1,Total_Sales_2015,Sales_Mean_2015,Avg_PPL_2015,Zip_Code_y,Total_Liters_2015,Avg_Liters_2015,Avg_Margin_2015
167,2846,CEDAR RAPIDS,19089.74,62.7951973684,57.0,15.134666745,52404,1645.41,5.41253289474,4.98717105263,72167.27,60.543011745,15.0409415948,52404,6346.8,5.3244966443,4.9269966443
168,2847,MARION,7305.46,72.3312871287,57.0,13.6172748703,52302,693.62,6.86752475248,5.00118811881,28070.75,72.5342377261,14.7323520364,52302,2566.16,6.63090439276,5.10532299742
169,2848,ANKENY,14796.7,97.9913907285,77.0,14.7527451908,50023,1170.53,7.75185430464,4.68735099338,48539.82,102.404683544,14.0117133816,50023,4068.78,8.58392405063,4.63959915612
170,2849,DES MOINES,8200.55,65.6044,77.0,17.8051695238,50320,569.61,4.55688,5.03936,23528.57,75.6545659164,16.3440813045,50320,1720.16,5.53106109325,5.07064308682
171,2850,DES MOINES,11412.54,58.5258461538,77.0,17.1217509158,50313,859.2,4.40615384615,4.92835897436,46204.77,77.9169814503,15.4133228941,50313,3640.5,6.13912310287,4.66887015177
172,2851,FORT DODGE,11228.97,110.087941176,94.0,12.2508683473,50501,1051.25,10.306372549,4.57990196078,48536.04,100.28107438,14.5946303129,50501,4103.05,8.47737603306,5.0492768595
173,2852,DES MOINES,17232.45,123.088928571,77.0,15.1362559524,50310,1292.95,9.23535714286,5.23014285714,72949.68,112.057880184,14.8783479628,50310,5497.0,8.44393241167,5.10482334869
174,2951,CLIVE,14101.04,106.826060606,77.0,14.8674025974,50322,1170.75,8.86931818182,4.46181818182,14101.04,106.826060606,14.8674025974,50322,1170.75,8.86931818182,4.46181818182
175,2953,DES MOINES,49231.37,86.6749471831,77.0,13.7509398055,50316,4310.78,7.58940140845,3.86223591549,49231.37,86.6749471831,13.7509398055,50316,4310.78,7.58940140845,3.86223591549
176,2954,DES MOINES,101925.63,92.4076427924,77.0,16.9847791737,50300,7566.8,6.86019945603,5.07741613781,101925.63,92.4076427924,16.9847791737,50300,7566.8,6.86019945603,5.07741613781
177,2955,DES MOINES,51218.82,91.4621785714,77.0,14.5016279762,50310,4341.23,7.75219642857,4.43567857143,51218.82,91.4621785714,14.5016279762,50310,4341.23,7.75219642857,4.43567857143
178,2956,DES MOINES,22261.17,104.024158879,77.0,12.8528037383,50300,1947.25,9.09929906542,4.68640186916,22261.17,104.024158879,12.8528037383,50300,1947.25,9.09929906542,4.68640186916
179,2958,DES MOINES,16843.33,85.4991370558,77.0,13.1660865361,50317,1534.35,7.7885786802,3.90791878173,16843.33,85.4991370558,13.1660865361,50317,1534.35,7.7885786802,3.90791878173
180,2959,DES MOINES,89798.11,90.6136326942,77.0,15.4087673586,50310,7534.0,7.60242179617,4.61820383451,89798.11,90.6136326942,15.4087673586,50310,7534.0,7.60242179617,4.61820383451
181,2961,WEST DES MOINES,9465.56,95.6117171717,77.0,16.0798845599,50265,722.75,7.30050505051,5.19848484848,9465.56,95.6117171717,16.0798845599,50265,722.75,7.30050505051,5.19848484848
182,2962,JOHNSTON,56100.01,80.1428714286,77.0,17.4710627551,50131,4043.72,5.77674285714,5.42005714286,56100.01,80.1428714286,17.4710627551,50131,4043.72,5.77674285714,5.42005714286
183,2963,CLIVE,42290.17,89.5978177966,77.0,16.9850799536,50325,3093.85,6.55476694915,5.22697033898,42290.17,89.5978177966,16.9850799536,50325,3093.85,6.55476694915,5.22697033898
184,3013,BLOOMFIELD,21340.78,60.7999430199,26.0,14.7652163885,52537,1788.75,5.09615384615,4.82877492877,96185.96,61.8559228296,14.5820505282,52537,8004.0,5.14726688103,4.58928617363
185,3041,COLFAX,16617.85,68.6688016529,50.0,13.0254407713,50054,1549.71,6.40376033058,3.88743801653,73642.21,68.3137384045,12.8590648467,50054,7046.96,6.53706864564,3.7628664193
186,3045,BRITT,21711.71,81.0138432836,41.0,12.3064534471,50423,2222.75,8.29384328358,4.38514925373,92027.53,81.9479341051,12.6752817708,50423,9546.0,8.50044523598,4.45124666073
187,3054,GRINNELL,28128.95,60.8851731602,79.0,20.9155730777,50112,1795.27,3.88586580087,5.90292207792,135780.35,65.2790144231,21.9956856685,50112,8177.61,3.93154326923,6.17586538462
188,3056,CLARION,21803.2,74.1605442177,99.0,14.985600907,50525,1730.75,5.8869047619,4.48319727891,81212.99,76.0421254682,14.7117009988,50525,6582.82,6.16368913858,4.50648876404
189,3065,MONTEZUMA,12517.29,59.0438207547,79.0,12.9792565139,50171,1085.25,5.11910377358,3.75740566038,73044.72,58.5294230769,13.7612664072,50171,6120.75,4.90444711538,3.95697916667
190,3162,MUSCATINE,53988.92,82.3001829268,70.0,12.6813857433,52761,5008.5,7.63490853659,4.04358231707,205314.96,80.5472577481,13.0851448747,52761,18868.75,7.40241271087,4.19705766967
191,3354,DAVENPORT,555707.4,741.932443258,82.0,18.474440206,52807,37001.75,49.4015353805,5.8264753004,2385085.09,705.646476331,18.8301392294,52807,160561.05,47.5032692308,6.08061242604
192,3385,CEDAR RAPIDS,1082136.01,933.680767903,57.0,18.3502033773,52402,72225.25,62.3168679896,5.89970664366,3947176.01,805.053234754,18.7846902528,52402,273289.2,55.7391800938,6.02446869264
193,3390,MILFORD,192089.46,140.828049853,30.0,17.325477936,51351,13797.37,10.1153739003,5.12627565982,1278226.39,169.055203015,18.5467737954,51351,89528.14,11.8407803201,5.32434201825
194,3393,RICEVILLE,5574.99,75.3377027027,66.0,14.0964543115,50466,505.5,6.83108108108,4.88364864865,25889.97,79.1742201835,14.4084185234,50466,2289.75,7.00229357798,4.82923547401
195,3400,DES MOINES,80241.27,128.798186196,77.0,17.182321333,50317,5197.68,8.34298555377,4.01248796148,392450.49,135.655198756,17.0610464504,50317,25322.84,8.75314206706,4.07220877981
196,3403,COLUMBUS JUNCTION,27043.54,47.8646725664,58.0,18.2143544037,52738,1793.55,3.17442477876,4.57587610619,95352.32,46.7184321411,17.8546404657,52738,6424.54,3.14774130328,4.50968642822
197,3417,MARENGO,61977.54,81.9808730159,48.0,13.0612956664,52301,5628.5,7.44510582011,4.33203703704,301514.3,81.1394779333,13.3728535548,52301,26743.23,7.1967787944,4.42025026911
198,3420,WINDSOR HEIGHTS,977772.62,1253.55464103,77.0,19.3885769231,50311,64351.25,82.5016025641,6.35376923077,3422351.55,1098.66823435,19.193677788,50311,237374.5,76.2036918138,6.3243788122
199,3437,NORWALK,41905.18,120.764207493,91.0,12.5605557843,50211,3709.7,10.690778098,4.09951008646,188106.57,125.320832778,12.8825573427,50211,16217.31,10.8043371086,4.20106595603
200,3440,DES MOINES,8247.67,34.0812809917,77.0,15.5416848682,50309,780.56,3.22545454545,2.68785123967,8853.95,34.3176356589,15.43910945,50309,845.32,3.27643410853,2.69259689922
201,3443,COUNCIL BLUFFS,87839.45,107.646384804,78.0,14.1720077614,51503,7493.25,9.18290441176,3.55964460784,495384.96,137.149767442,14.6142542524,51503,38639.07,10.6974169435,3.730393134
202,3447,SIOUX CITY,445058.32,819.628581952,97.0,17.073549943,51106,29944.75,55.1468692449,5.80112338858,1948203.2,764.001254902,17.5593884687,51106,132091.75,51.8006862745,5.99440392157
203,3451,DEWITT,21651.03,129.646886228,23.0,14.0212517821,52742,2122.5,12.7095808383,4.52335329341,21651.03,129.646886228,14.0212517821,52742,2122.5,12.7095808383,4.52335329341
204,3456,CLEAR LAKE,127495.18,85.6247011417,17.0,17.5721238287,50428,9061.53,6.08564808596,4.89223640027,633364.87,82.3942851568,17.6206675618,50428,45220.92,5.88277871731,4.95840509952
205,3461,STUART,23874.67,79.0551986755,1.0,14.1297429833,50250,2090.32,6.92158940397,4.27178807947,120868.65,77.9797741935,14.7281435484,50250,10363.93,6.68640645161,4.39351612903
206,3465,PANORA,21535.87,66.2642153846,39.0,14.8775912088,50216,1931.5,5.94307692308,4.67609230769,109733.71,70.8874095607,15.706585379,50216,9026.45,5.83104005168,4.79525839793
207,3477,COUNCIL BLUFFS,276096.18,744.194555256,78.0,15.9950969067,51501,19497.0,52.5525606469,5.83037735849,1241809.72,652.553715187,16.0781115657,51501,86693.25,45.5560956385,5.86093011035
208,3484,MARCUS,8506.79,69.1608943089,18.0,13.5482229965,51035,699.38,5.68601626016,4.40691056911,38081.81,64.4362267343,14.9750946741,51035,3057.01,5.17260575296,4.72226734349
209,3488,BELLEVUE,49163.01,132.158629032,49.0,14.2072235023,52031,3700.25,9.94690860215,4.9322311828,232655.86,139.733249249,15.2165391105,52031,16846.5,10.118018018,5.16866666667
210,3494,WATERLOO,434110.57,738.283282313,7.0,16.2738621639,50702,33442.25,56.8745748299,5.55948979592,1755333.32,698.779187898,16.7290103219,50702,129808.95,51.6755374204,5.71474124204
211,3495,MONTICELLO,73789.38,34.3846132339,53.0,15.0755842542,52310,5784.52,2.69548928239,4.48239515377,323739.84,35.8794015294,15.442123515,52310,25215.96,2.79463149728,4.54244597141
212,3514,FORT DODGE,88006.84,112.829282051,94.0,17.9524578755,50501,5805.06,7.44238461538,5.41448717949,349025.21,116.186820905,18.4441975559,50501,22838.47,7.60268641811,5.61350532623
213,3521,COUNCIL BLUFFS,117958.96,366.332173913,78.0,22.7183732623,51501,5922.5,18.3928571429,7.31158385093,395317.39,314.743144904,21.9808431908,51501,19716.25,15.6976512739,7.16895700637
214,3524,AMES,407738.79,835.530307377,85.0,18.1035675254,50010,29491.0,60.4323770492,6.09022540984,1676609.93,673.067013248,17.8366093651,50010,125237.25,50.2758932156,6.0660337214
215,3525,WASHINGTON,144364.96,165.3665063,92.0,18.2570057159,52353,9077.93,10.3985452463,5.31361970218,580467.96,151.716664924,18.4614820601,52353,36906.36,9.64619968636,5.28687140617
216,3528,MASON CITY,27996.5,153.826923077,17.0,15.932293956,50401,1873.3,10.2928571429,6.07247252747,188383.42,181.137903846,18.0550984365,50401,11117.95,10.6903365385,6.39952884615
